gif,quote
"https://media.tenor.com/3Lw0wKXsKMAAAAAM/firebringer-starkid.gif","I don't really wanna do the work today"
"https://media.tenor.com/f7QdJSn85F4AAAAM/firebringer-starkid.gif","The duck is pleased"
