id,category_name,image_url
69,tackle,https://media.tenor.com/HSnsmj9SFGEAAAAM/monsters-inc-boo.gif
70,tackle,https://media.tenor.com/OXCV_qL-V60AAAAM/mochi-peachcat-mochi.gif
71,tackle,https://media.tenor.com/4qMlm0b1YfAAAAAM/covid-meme.gif
72,tackle,https://media.tenor.com/dzs3WPLgqoYAAAAM/cat-hug.gif
73,tackle,https://media.tenor.com/goC3LqsCnrkAAAAC/matt-hug-hugs.gif
74,tackle,https://media.tenor.com/5QZWo9pQM-oAAAAM/hug-peachcat.gif
75,tackle,https://media.tenor.com/LadCBLn5HDQAAAAM/poke-hug.gif
76,tackle,https://media.tenor.com/KHUhRSyp03EAAAAM/miss-you.gif
77,tackle,https://media.tenor.com/1FPyVLeSI8kAAAAM/attack-ambushed.gif
78,tackle,https://media.tenor.com/CslKKkbq31QAAAAM/tackle-pounce.gif
79,tackle,https://media.tenor.com/glwwwW6GXjIAAAAM/kiss-tackle.gif
80,tackle,https://media.tenor.com/mj0Neo-9JFMAAAAM/tackle-hug.gif
81,tackle,https://media.tenor.com/EGHawmNW-L4AAAAC/anime-hug.gif
82,tackle,https://media.tenor.com/WoTDOKyEMn4AAAAC/sunday-milk-and-mocha.gif
83,hug,https://media.tenor.com/HSnsmj9SFGEAAAAM/monsters-inc-boo.gif
84,hug,https://media.tenor.com/OXCV_qL-V60AAAAM/mochi-peachcat-mochi.gif
85,hug,https://media.tenor.com/4qMlm0b1YfAAAAAM/covid-meme.gif
86,hug,https://media.tenor.com/dzs3WPLgqoYAAAAM/cat-hug.gif
87,hug,https://media.tenor.com/goC3LqsCnrkAAAAC/matt-hug-hugs.gif
88,hug,https://media.tenor.com/5QZWo9pQM-oAAAAM/hug-peachcat.gif
89,hug,https://media.tenor.com/LadCBLn5HDQAAAAM/poke-hug.gif
90,hug,https://media.tenor.com/KHUhRSyp03EAAAAM/miss-you.gif
91,hug,https://media.tenor.com/1FPyVLeSI8kAAAAM/attack-ambushed.gif
92,hug,https://media.tenor.com/CslKKkbq31QAAAAM/tackle-pounce.gif
93,hug,https://media.tenor.com/glwwwW6GXjIAAAAM/kiss-tackle.gif
94,hug,https://media.tenor.com/mj0Neo-9JFMAAAAM/tackle-hug.gif
95,hug,https://media.tenor.com/OaSQqWO4-YUAAAAC/snuggle-anime.gif
