gif,quote
"https://tenor.com/en-GB/view/denise-donovan-starkid-team-starkid-starship-shrug-gif-20051265",​
"https://media.tenor.com/fFloCA0doIQAAAAC/denise-donovan-starkid.gif",​
​,"It starts with not questioning the answers"
​,"And giving up before you've begun"
​,"It locks all the doors, increases the pressure"
​,"And in a flash"
​,"Your time is up before it's done"
​,"Who cares about normal?"
​,"I'll never conform"
​,"I will be content to resent the status quo"
