gif,quote
"https://media.tenor.com/jMnK-Yb7KtEAAAAM/corey-dorris-starkid.gif", "You know, you've got a real attitude problem"
"https://media.tenor.com/miJ52aOFakkAAAAM/lauren-lopez-starkid.gif","I will destroy everything"
